K,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
2.000000000000000000e+00,1.423982424237269839e+01,-1.124718634347912083e+00,-1.126687708586717074e+00,9.564275544489898806e+00
3.000000000000000000e+00,1.470099279076069188e+01,-6.001541882492827717e+00,-6.006204674226697016e+00,1.050243155765048897e+01
4.000000000000000000e+00,1.493539107533374377e+01,-9.307591200755014782e+00,-9.315468595099018145e+00,1.091919593583418546e+01
5.000000000000000000e+00,1.511391649866043352e+01,-1.209067200717860224e+01,-1.209547730091101059e+01,1.135130708456984827e+01
6.000000000000000000e+00,1.527687118236265817e+01,-1.412986560509036593e+01,-1.397028071730226984e+01,1.147062632467441112e+01
7.000000000000000000e+00,1.539072100592298398e+01,-1.359270601613376250e+01,-1.350244241716091587e+01,1.177185936725005000e+01
8.000000000000000000e+00,1.555882528239852114e+01,-1.368204355084407631e+01,-1.342265327304354017e+01,1.204875894518041690e+01
