M_eq_K,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
2.000000000000000000e+00,9.954301044075879901e+00,-2.540115236022728595e+00,-2.545247059054299932e+00,8.557124189443346296e+00
3.000000000000000000e+00,1.205652971752449609e+01,-6.737088402252748409e+00,-6.786185573622117495e+00,9.857987011752239681e+00
4.000000000000000000e+00,1.352740953144950353e+01,-9.626560193194679371e+00,-9.669444679347659388e+00,1.063765689488690214e+01
5.000000000000000000e+00,1.455613721245433112e+01,-1.207533040666661606e+01,-1.200135777905838097e+01,1.128968089037276457e+01
6.000000000000000000e+00,1.528227897598145546e+01,-1.423833020488255130e+01,-1.408098285705765740e+01,1.151459179933938870e+01
7.000000000000000000e+00,1.583916173948795603e+01,-1.590274065230253875e+01,-1.554707179907640935e+01,1.181666204121455443e+01
8.000000000000000000e+00,1.648193720282482388e+01,-1.734262224250570839e+01,-1.703887460061245918e+01,1.222926248401750016e+01
