K,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
2.000000000000000000e+00,1.869742318753567645e+01,5.650312354875504095e-01,5.638039717623829494e-01,1.388182786976785366e+01
3.000000000000000000e+00,1.909329207304849874e+01,-4.892416206434832660e+00,-4.893063967781349888e+00,1.477516699271869172e+01
4.000000000000000000e+00,1.944206937950058744e+01,-8.006098086826842319e+00,-8.007817536362958677e+00,1.519384379782698069e+01
5.000000000000000000e+00,1.951219152066149576e+01,-1.102237406414949383e+01,-1.100530413273185282e+01,1.569780532972912823e+01
6.000000000000000000e+00,1.975901541582664933e+01,-1.279952699984372089e+01,-1.246284708879218073e+01,1.593050102673362645e+01
7.000000000000000000e+00,1.980917856594274085e+01,-1.229462937398941946e+01,-1.212860037566651528e+01,1.620762462728625053e+01
8.000000000000000000e+00,1.996620706531080458e+01,-1.266485196414144987e+01,-1.262131251224058204e+01,1.636213457709204988e+01
