M,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
2.000000000000000000e+00,1.099283807877972308e+01,-8.626458403829815325e-01,-8.584040678947540970e-01,9.669226047697067727e+00
4.000000000000000000e+00,1.353227582309606092e+01,-9.670969504504640213e+00,-9.695262229891708827e+00,1.061071530884814962e+01
6.000000000000000000e+00,1.497743192879694263e+01,-9.313012377056026025e+00,-9.317536134054297037e+00,1.112609091913760651e+01
8.000000000000000000e+00,1.595066800160944531e+01,-9.555065437782207738e+00,-9.560292811337442132e+00,1.102511378281262111e+01
1.000000000000000000e+01,1.677604984686348288e+01,-9.163958519932029034e+00,-9.165066225130386712e+00,1.114899341877853089e+01
