M,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
4.000000000000000000e+00,1.791004141101515756e+01,-8.521772946036982432e+00,-8.488950725521927865e+00,1.493522335074237972e+01
8.000000000000000000e+00,2.047158095905265540e+01,-8.189439641316864638e+00,-8.190367851392284848e+00,1.553433427568123371e+01
1.200000000000000000e+01,2.192013445767620539e+01,-7.922414304475676516e+00,-7.922980447801145409e+00,1.580442030622139526e+01
1.600000000000000000e+01,2.306469699297653975e+01,-8.023931232263873170e+00,-8.024187045337670909e+00,1.579124204498668860e+01
2.000000000000000000e+01,2.394789195243432900e+01,-8.097530896167068448e+00,-8.097711566475522815e+00,1.588100598141270758e+01
2.400000000000000000e+01,2.465193905136939279e+01,-7.846273562510251764e+00,-7.846397113470190199e+00,1.597722857698379428e+01
2.800000000000000000e+01,2.524608875991182444e+01,-8.073222042471600801e+00,-8.073280682487734339e+00,1.603537218083516436e+01
3.200000000000000000e+01,2.578718824859736714e+01,-7.909160489831895902e+00,-7.909216866165213133e+00,1.596594186815701377e+01
