M_eq_K,Optimal_dB,RZF_dB,ZF_dB,Exhaustive_dB
2.000000000000000000e+00,1.449347242411767311e+01,1.727197487000061149e-01,1.704874344093689764e-01,1.290698873221254139e+01
3.000000000000000000e+00,1.650228008010649461e+01,-4.872775696963224767e+00,-4.900898011648568087e+00,1.428616756743090122e+01
4.000000000000000000e+00,1.786530655983964522e+01,-8.551023432793448009e+00,-8.509181144753968695e+00,1.485601306591862425e+01
5.000000000000000000e+00,1.882955974244584851e+01,-1.064653264025354318e+01,-1.059104219865059981e+01,1.564000491416561012e+01
6.000000000000000000e+00,1.971813069128528895e+01,-1.333771604041347558e+01,-1.313334586091261968e+01,1.588658437148138702e+01
8.000000000000000000e+00,2.095994098551567575e+01,-1.580259996275130874e+01,-1.507667536819239018e+01,1.680179959376583909e+01
1.000000000000000000e+01,2.189896147512525815e+01,-1.854100685756301203e+01,-1.784348149888322865e+01,1.711507104919261124e+01
