snr_dB,opt_db
0.0,11.449564658240092
3.0,14.755039234127448
6.0,17.638278757988072
9.0,20.44837496841805
12.0,23.429034922057028
15.0,26.290780372841724
18.0,29.214388241695957
21.0,32.56758511775328
24.0,35.614503683943326
27.0,38.42443536282197
30.0,41.5708204771843
