snr_dB,zf_db,rzf_db
0,7.034287795020262,7.034666406818283
3,10.139771931080135,10.140126662437275
6,13.103939643688829,13.104260804690448
9,16.120767581136974,16.121086898963146
12,19.088527316907555,19.08885889963772
15,22.185912559696582,22.1862198916861
18,25.196014957966014,25.196317894418332
21,28.09296651803644,28.093291657272502
24,31.157805137561922,31.158124401792023
27,34.141967133872846,34.14223747759322
30,37.131562449223495,37.13175118545656
