snr_dB,zf_db,rzf_db
0,-78.89430357103188,-78.59328352485535
3,-75.89430352706147,-75.59328365188765
6,-72.89430379097682,-72.59328404480428
9,-69.89430409343292,-69.59328471223392
12,-66.89430502660115,-66.59328684467603
15,-63.894305612075954,-63.5932892058802
18,-60.89430824568856,-60.593295891660226
21,-57.894313355092024,-57.593308855120576
24,-54.89432312825764,-54.59333412053125
27,-51.89434181850981,-51.59338374349734
30,-48.89438069797866,-48.59348471867528
