snr_dB,opt_db
0.0,11.546021043106464
3.0,14.4250665225898
6.0,17.361345366998506
9.0,20.57385476751734
12.0,23.33935454493851
15.0,26.478139834501256
18.0,29.288774400369853
21.0,32.483417990370256
24.0,35.417572126772214
27.0,38.30268570171645
30.0,41.336645076651365
