gamma_dB,P2_opt_avg_power,P2_zf_avg_power,P2_opt_infeasible_count,P2_zf_infeasible_count
-5.0,2.1590189861297606,6.488045718002319,2159,6488
0.0,5.12113235321045,8.402149174499511,5121,8402
5.0,5.478403398132325,9.114412109375,5478,9114
10.0,7.996336650848389,9.743180419921876,7996,9743
15.0,8.728336364746093,9.895197631835938,8728,9895
20.0,9.577220629882813,9.978059008789062,9577,9978
25.0,9.80946357421875,9.991036010742187,9809,9991
30.0,9.955173678588867,9.995054077148437,9955,9995
35.0,9.989035473632812,10.0,9989,10000
