gamma_dB,avg_total_power_W
0.000000000000000000e+00,2.421827952610839752e-04
5.000000000000000000e+00,8.747277048039896414e-04
1.000000000000000000e+01,2.329660692115566572e-03
1.500000000000000000e+01,6.952994678352779866e-03
2.000000000000000000e+01,2.137546826833831848e-02
