gamma_dB,P2_opt_avg_power,P2_zf_avg_power,P2_opt_infeasible_count,P2_zf_infeasible_count
-5.0,3.0710252126782967e-06,9.690011742949471,0,1938
0.0,0.005010066356633226,9.66008063793165,1,1932
5.0,4.819878164812341e-05,9.900050270676024,0,1980
10.0,0.010297685356263953,9.901151505486268,2,1980
15.0,0.017383629125570534,9.960897864892322,3,1992
20.0,0.25442868619784076,10.0,45,2000
