gamma_dB,P2_opt_avg_power,P2_zf_avg_power,P2_opt_infeasible_count,P2_zf_infeasible_count
-5.0,0.0010705607133406458,0.09637889386845418,0,4
0.0,0.0017425947263031124,0.36912359429917546,0,38
5.0,0.4729525465755322,1.4901278239826228,94,225
10.0,1.2356280193068836,3.220460624603553,246,542
15.0,1.9426796838833893,5.381836809505519,387,990
20.0,2.5267072253371734,6.756697971593854,503,1303
25.0,2.9536538732938498,7.56769968384027,587,1481
30.0,3.220084435695433,8.250675800981291,638,1621
