snr_db,zf_beta_mean,zf_beta_std,zf_random_mean,zf_random_std,wmmse_alpha_beta_mean,wmmse_alpha_beta_std,mrt_single_mean,mrt_single_std
0.000000000000000000e+00,1.446711268013859581e+03,5.799811569138182676e+02,2.096195168826545228e+02,1.797130718379341658e+02,1.438933068690121218e+03,6.469799950765531094e+02,1.262347346268992851e+03,6.923826904566410576e+02
5.000000000000000000e+00,1.626695703690780192e+03,6.620353456848854421e+02,2.404235849101500548e+02,1.809262197711722422e+02,1.627176713066211050e+03,6.779705259802652790e+02,1.427202228067322267e+03,6.845847349131596502e+02
1.000000000000000000e+01,1.781799771800485132e+03,6.615646654017587025e+02,2.574080692099515772e+02,1.986231657416014968e+02,1.782468527899716946e+03,6.805924835131825148e+02,1.570116616665194670e+03,7.476301815171766521e+02
1.500000000000000000e+01,1.982980182333876883e+03,7.107585885038794231e+02,2.728230212810248076e+02,2.186101604787383792e+02,1.894143806101872542e+03,6.913089846810260042e+02,1.658639531563083438e+03,8.132604664095009639e+02
2.000000000000000000e+01,2.043028181641771880e+03,7.624306955501590437e+02,3.087865384448504642e+02,2.403615497113196113e+02,2.048286997723163495e+03,7.398980351659610051e+02,1.701152650083634853e+03,8.023524642652173497e+02
2.500000000000000000e+01,2.248709748509656492e+03,7.466987324617891773e+02,3.328917546193384851e+02,2.292885409863971518e+02,2.238354373865503476e+03,7.867620783600079903e+02,1.869845387118876943e+03,8.956559269129601262e+02
3.000000000000000000e+01,2.447215280157888174e+03,8.213876013983478970e+02,3.432161078731908788e+02,2.289701226179149387e+02,2.444641827309701512e+03,8.085303816931593701e+02,1.947621788615638025e+03,9.048025688261815276e+02
