K,avg_total_power_W
3.000000000000000000e+00,1.290442028737183791e-03
4.000000000000000000e+00,1.350416618936216848e-03
5.000000000000000000e+00,2.672250552144376373e-03
6.000000000000000000e+00,2.581194686475250973e-03
7.000000000000000000e+00,2.971464271077378042e-03
8.000000000000000000e+00,3.710580896526618350e-03
