snr_dB,opt_db
0.0,-64.34914935314532
3.0,-61.24952103736053
6.0,-59.072747463103326
9.0,-56.25468404636361
12.0,-52.62204160155373
15.0,-50.90959587574229
18.0,-46.130847667407394
21.0,-44.20146628698993
24.0,-41.37132620005502
27.0,-38.96679675990359
30.0,-36.93593250527613
